"Year","Total"
1968,199864.734643165
1969,199864.734643165
1970,249651.999312269
1971,155373.417202283
1972,194568.787414942
1973,237175.344560613
1974,204555.434367073
1975,193635.79481701
1976,117265.402076042
1977,169566.659653175
1978,165116.496965403
1979,162898.159461819
1980,148631.48119133
1981,202772.279791055
1982,259242.460812616
1983,295166.452009213
1984,278153.271642748
1985,297405.219609938
1986,354854.951306718
1987,305456.861425256
1988,230504.865861024
1989,184925.54051045
1990,203279.051124469
1991,202087.542971793
1992,175169.164023305
1993,122042.131982603
1994,95840.3570915278
1995,139667.398972324
1996,153088.958867523
1997,115690.464073561
1998,82760.6183173598
1999,99378.0569001308
2000,116616.824277698
2001,156455.05363446
2002,114797.579398498
2003,94298.3659744286
2004,56603.3222945793
2005,69475.6773595065
2006,73854.9567522278
2007,92218.6306500826
2008,106523.426628829
2009,119815.248426144
2010,92513.2727953293
2011,74316.8074045946
2012,76996.4886633436
2013,99496.4798832779
2014,102359.19139569
2015,72559.6888351442
2016,94400.534367031
2017,74771.6411876822
2018,89016.5978808785
