"","OM","Code","MSY","FMSY","SSBMSY","SSBMSY_SSB0","BMSY_B0","BMSY","VBMSY","UMSY","VBMSY_VB0","FMSY_M","N0","SSB0","B0","VB0","RefY","Blow","MGT","R0","D"
"1","1","RefCase","81.753","0.627","118.825","0.142","0.257","274.443","196.466","0.417","0.213","3.137","9.063","839.323","1065.977","920.778","46.259","0.016","5.089","2.676","0.186"
"2","2","M_LowMv","59.35","0.502","112.456","0.136","0.237","234.567","168.536","0.352","0.201","2.511","7.465","826.946","990.784","839.055","42.507","0.012","5.521","2.296","0.15"
"3","3","M_HighMv","135.472","1.079","99.321","0.109","0.344","454.629","232.785","0.584","0.216","5.394","18.422","907.77","1320.677","1076.223","67.433","8.748","4.691","8.606","0.276"
"4","4","G_ChangeGrowth","82.345","0.626","120.24","0.143","0.26","277.354","198.401","0.416","0.215","3.129","9.063","839.323","1065.977","920.778","43.307","0.016","5.089","2.676","0.186"
"5","5","h_Steep85","68.065","0.463","140.702","0.18","0.282","279.755","209.389","0.325","0.23","2.313","8.433","780.95","991.841","909.325","41.017","0.248","5.089","2.49","0.185"
"6","6","h_Steep75","67.513","0.357","183.637","0.21","0.299","332.477","259.626","0.26","0.271","1.783","9.461","876.122","1112.714","958.75","34.943","1.676","5.089","2.794","0.176"
"7","7","h_Steep70","64.365","0.316","198.709","0.223","0.306","346.737","275.21","0.234","0.282","1.58","9.63","891.791","1132.613","973.869","33.155","3.281","5.089","2.844","0.177"
"8","8","h_Steep65","59.374","0.281","207.842","0.236","0.313","350.886","281.207","0.211","0.291","1.406","9.525","882.085","1120.286","967.138","32.085","5.873","5.089","2.813","0.159"
"9","9","h_Steep55","52.018","0.215","239.587","0.261","0.327","380.681","315.002","0.165","0.315","1.073","9.912","917.929","1165.81","999.954","28.559","16.013","5.089","2.927","0.202"
"10","10","C_WeirCat","105.307","0.533","162.843","0.143","0.253","365.608","292.237","0.36","0.327","2.666","12.299","1138.978","1446.552","894.329","55.627","0.014","5.089","3.632","0.175"
"11","11","q_1","81.371","3","201.091","0.272","0.386","362.417","47.67","1.707","0.065","14.999","7.986","739.536","939.244","729.081","71.388","111.568","5.089","2.358","0.42"
"12","12","q_1x4","100.73","0.564","149.007","0.141","0.255","341.908","266.661","0.378","0.236","2.818","11.421","1057.68","1343.301","1130.161","75.872","14.98","5.089","3.373","0.38"
"13","13","q_1x16","96.378","0.574","141.92","0.141","0.255","326.245","251.245","0.384","0.232","2.868","10.874","1006.984","1278.914","1081.409","72.59","8.992","5.089","3.211","0.33"
"14","14","q_1x36","93.733","0.584","137.557","0.141","0.256","316.577","240.496","0.39","0.228","2.919","10.525","974.665","1237.868","1052.436","70.527","7.223","5.089","3.108","0.312"
"15","15","Comp_AgeLength","65.549","0.902","98.755","0.153","0.271","221.826","112.736","0.584","0.155","4.511","6.973","645.748","820.129","724.834","49.02","0.626","5.089","2.059","0.23"
"16","16","PS_Two","94.344","0.84","146.54","0.155","0.27","325.091","171.657","0.552","0.168","4.201","10.243","948.561","1204.715","1022.703","49.664","0.017","5.089","3.025","0.222"
"17","17","CompWt_01","94.3","0.638","137.221","0.142","0.258","316.463","224.406","0.422","0.213","3.188","10.423","965.248","1225.907","1051.44","49.466","0.15","5.089","3.078","0.183"
"18","18","CompWt_1","71.013","0.618","103.398","0.141","0.257","238.699","172.889","0.411","0.216","3.089","7.896","731.239","928.705","801.887","48.77","0.02","5.089","2.332","0.253"
"19","19","CompWt_2","67.941","0.612","99.011","0.141","0.257","228.538","166.788","0.408","0.217","3.06","7.569","700.963","890.254","768.286","49.891","0.021","5.089","2.235","0.295"
"20","20","CompWt_5","66.196","0.606","96.54","0.141","0.256","222.805","163.807","0.404","0.219","3.032","7.388","684.137","868.884","749.212","51.562","0.029","5.089","2.182","0.36"
"21","21","M_0.2","44.821","0.344","129.146","0.15","0.202","196.066","167.043","0.268","0.211","1.721","5.189","862.27","971.522","793.686","42.447","0.028","5.848","0.941","0.171"
"22","22","M_0.2Lh","37.016","0.21","176.839","0.201","0.24","238.512","213.528","0.173","0.265","1.052","5.303","881.273","992.933","805.386","43.819","3.243","5.848","0.961","0.337"
"23","23","LS_none","84.623","0.616","123.514","0.142","0.257","284.814","206.524","0.41","0.217","3.082","9.424","872.772","1108.459","950.656","46.035","0.011","5.089","2.783","0.174"
"24","24","LS_none1","84.623","0.616","123.514","0.142","0.257","284.814","206.524","0.41","0.217","3.082","9.424","872.772","1108.459","950.656","46.035","0.011","5.089","2.783","0.174"
"25","25","R_1968-2016","81.753","0.627","118.825","0.142","0.257","274.443","196.466","0.417","0.213","3.137","9.063","839.323","1065.977","920.778","46.259","0.016","5.089","2.676","0.186"
"26","26","R_1968-1993","81.753","0.627","118.825","0.142","0.257","274.443","196.466","0.417","0.213","3.137","9.063","839.323","1065.977","920.778","46.259","0.016","5.089","2.676","0.186"
"27","27","R_2010-2016","81.753","0.627","118.825","0.142","0.257","274.443","196.466","0.417","0.213","3.137","9.063","839.323","1065.977","920.778","46.259","0.016","5.089","2.676","0.186"
"28","28","R_1994-2009","81.753","0.627","118.825","0.142","0.257","274.443","196.466","0.417","0.213","3.137","9.063","839.323","1065.977","920.778","46.259","0.016","5.089","2.676","0.186"
"29","29","G_stepback","80.021","0.619","118.908","0.142","0.255","271.486","194.331","0.412","0.211","3.095","9.063","839.323","1065.977","920.778","54.847","0.016","5.089","2.676","0.186"
"30","30","h_Steep90","78.004","0.527","138.458","0.163","0.271","292.501","215.724","0.362","0.232","2.635","9.168","848.984","1078.248","930.669","42.573","0.077","5.089","2.707","0.182"
